Country,Crop,Acres
Iraq,Tangerines,964
Iraq,Lemons/Limes,7092
Iraq,Grapefruit,86
Iraq,Apples,60118
Iraq,Pears,4915
Iraq,Peaches,1606
Iraq,Plums/Prunes,4791
Iraq,Apricots,14515
Iraq,Grapes,52767
Iraq,Olives,18481
Iraq,Figs,2649
Iraq,Almonds,773
Iraq,Walnuts,2760
Iraq,Pistachios,2464
Iraq,Dates,703142
Ireland,Apples,1754
Israel,Oranges,10238
Israel,Tangerines,19796
Israel,Lemons/Limes,6506
Israel,Grapefruit,4045
Israel,Apples,6358
Israel,Pears,2797
Israel,Peaches,8710
Israel,Plums/Prunes,3079
Israel,Apricots,1426
Israel,Grapes,20297
Israel,Avocados,31390
Israel,Olives,83274
Israel,Figs,348
Israel,Mangoes,5288
Israel,Bananas,8280
Israel,Almonds,1137
Israel,Dates,13190
Italy,Oranges,209471
Italy,Tangerines,85770
Italy,Lemons/Limes,60689
Italy,Grapefruit,741
Italy,Apples,132770
Italy,Pears,60590
Italy,Peaches,139095
Italy,Plums/Prunes,29751
Italy,Apricots,43120
Italy,Grapes,1754174
Italy,Olives,2660135
Italy,Figs,3682
Italy,Almonds,133165
Italy,Walnuts,13443
Italy,Hazelnuts,208631
Jamaica,Oranges,18822
Jamaica,Tangerines,3880
Jamaica,Lemons/Limes,3855
Jamaica,Grapefruit,4119
Jamaica,Avocados,890
